hash,result,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
c7a473fd916048e8d98f012294074328,sat,edit_distance023_283.cnf.xz,670.759,182.291,181.229,3619.86,220.294,193.37,1154.54,694.626,709.149,timeout,timeout,timeout,234.698,4195.77,488.951,2639.56,1495.75,timeout,4616.31,928.039,2497.12,75.821,318.133,898.389,309.07,728.689,592.909,637.546,304.702,308.622,timeout,712.973,2736.28,2286,620.67,868.796,575.987,1118.94,603.381,1479.91,454.862,265.445,953.243,771.123,344.409,446.117
c7cd1be9f812c99e94827cb361d693fc,sat,b2005-p1-14x14c17h9-Ser3-0.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
c879ee8f60ca65a013da7774277e489e,sat,randomG-n19-d05.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
c8cff3ad0f176e153b5073725fed1bd1,unsat,ndhf_xits_09_UNSAT.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4300.92,timeout,timeout,timeout,timeout,timeout,3678.85,timeout,timeout,timeout,timeout,3396.57,1777.83,3266.35,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
c9aeaebe08aa8abf73a800decfbc01b3,unsat,ctl_4291_567_1_unsat.cnf.xz,1725.99,817.385,786.252,1780.75,1350.1,1712.28,1815.63,1747.25,1731.21,timeout,timeout,1181,1948.85,1768.67,1562.91,1658.06,1561.07,1231.48,1717.54,1522.12,1612.5,1416.93,1024.81,1426.88,1055.15,1118.55,unverified,unverified,1447.3,1462.63,1106.75,855.772,1335.69,1105.6,1360.07,1423.17,1121.56,1290.27,1575.14,872.057,1085.56,1225.47,1428.84,1368.63,1142.45,1266.93
cab122ecb0ca8f09d0e53eb81ac4bcf9,sat,erin2_0x0_n207-379.cnf.xz,105.523,74.0054,73.2715,510.596,2396.88,2501.06,695.62,1786.92,557.737,2212.32,4967.89,1499.51,655.012,4462.21,1407.42,timeout,903.975,1814.5,2780.8,210.813,596.859,258.024,1378.06,1463.65,1464.89,391.965,801.223,2254.87,2638.31,2628.85,1252.22,190.142,1693.73,2592.45,1651.56,578.196,2071.34,2174.29,1942.53,778.671,1039.44,1194.64,700.764,2296.85,1310.9,93.062
cac3197a79f7b0166f8a22367b86c02a,sat,sp5-21-15-una-nons-tree-noid.cnf.xz,216.92,1.80392,1.80253,1363.56,309.633,286.468,553.89,664.114,1097.49,4914.55,985.837,493.44,699.291,1618.56,1267.59,1816.82,578.459,60.312,2344.09,2207.24,357.48,89.6567,41.1115,timeout,41.8178,1.4778,631.612,631.998,470.223,955.175,569.486,400.935,70.5314,306.304,124.566,917.409,314.498,54.2812,59.3367,473.434,217.918,180.932,142.136,439.478,326.797,299.202
cc4ca544efe70ed7942a110b7e89dfd5,sat,HCP-526-420.cnf.xz,202.777,80.0348,80.2559,105.601,205.99,142.575,100.751,103.887,178.661,timeout,timeout,3421.89,55.0645,433.224,70.8735,194.849,127.541,79.8191,62.1792,35.9827,126.754,111.557,223.637,97.2995,261.305,950.214,124.95,4551.28,timeout,timeout,4430.26,timeout,1079.63,2305.83,182.433,82.5716,218.47,1301.66,1262.39,4335.67,160.107,timeout,165.591,220.262,184.238,timeout
cc5c7c695cbb6f78c1af80b3e5471db3,unsat,ak016modbtsimpbisc.cnf.xz,1511.66,1721.86,1727.04,1514.09,1902.29,1556.69,1266.2,1574.88,1902.83,timeout,timeout,timeout,timeout,timeout,timeout,timeout,1038.31,696.689,timeout,timeout,timeout,1090.33,1090.23,timeout,449.074,4161.17,unverified,unverified,2270.88,3043.86,3870.48,3356.98,2021.58,2564.61,495.219,510.645,2540.49,3584.18,3537.8,timeout,1934.03,3885.51,2564.91,4231,2388.87,2921.23
cc813d033d2b735cf872a7568eacda24,sat,ecarev-110-1031-23-40-8.cnf.xz,468.949,388.452,386.581,339.87,411.127,456.786,444.76,341.086,340.857,2024.57,1264.05,1420.63,576.815,449.53,538.361,1135.03,440.778,1293.78,447.698,458.427,477.605,766.963,369.353,349.132,386.727,300.941,333.827,378.347,379.18,382.7,336.605,330.01,360.241,345.728,400.527,489.071,238.324,461.344,410.933,271.664,284.292,210.452,522.808,267.473,536.872,551.263
cd60db7535dddb69068778af69e6a267,sat,edit_distance035_393.cnf.xz,976.842,4051.26,4046.22,332.141,1045.4,timeout,1665.48,timeout,275.806,timeout,timeout,1777,1118.55,timeout,4087.68,timeout,879.356,timeout,timeout,2376.49,timeout,2892.85,1511.66,1024.19,1447.77,4306.49,1168.81,255.504,timeout,timeout,786.576,timeout,1341.23,2314.36,timeout,618.882,4264.59,1074.25,880.639,3930.02,126.821,469.729,744.247,290.438,609.949,3417.19
cdf559a186b55457ce49516ec323e907,unsat,at-least-two-traffic_kkb_unknown.cnf.xz,930.96,904.9,921.519,969.907,877.336,925.317,1258.15,1012.86,970.592,1372.55,879.806,475.66,952.775,1195.37,219.285,245.741,396.571,195.857,375.561,191.984,253.429,270.274,267.088,249.366,272.031,344.055,unverified,unverified,404.802,409.218,218.64,186.502,306.086,220.904,473.249,445.377,458.703,249.071,341.784,164.907,459.769,262.857,482.617,436.288,319.67,335.537
ceed053b7c2e91dd761169faba1a5193,unsat,puzzle35_unsat.cnf.xz,508.55,1701.01,1707.53,761.733,1297.43,422.751,3929.15,3695.12,1707.17,timeout,timeout,timeout,816.105,448.034,1175.21,1094.66,268.346,timeout,1417.45,416.819,1245.96,timeout,timeout,2002.45,4691.63,1755.81,unverified,timeout,1991.16,timeout,timeout,4174.2,timeout,timeout,681.468,1452.52,timeout,timeout,timeout,timeout,timeout,4272.82,780.178,2146.38,timeout,timeout
cf5f4eb714cab56ce430af77d26e1a6e,unsat,MVD_ADS_S10_5_6.cnf.xz,0.888258,1.52997,1.52454,0.896547,1.02308,230.238,2528.96,0.899445,1.09181,timeout,timeout,0.710224,0.806919,1.23281,0.785787,0.631073,0.808569,0.65504,0.786495,0.735305,0.745985,0.622934,1.59572,1.83153,1.54803,427.192,429.401,429.78,511.076,508.495,403.614,436.011,400.413,407.018,25.792,25.5736,452.197,450.167,458.454,426.601,428.66,timeout,455.336,458.649,455.492,452.163
cfc5b08fa24149afb9a67426dbe871e9,unsat,WS_500_32_30_10.apx_0.cnf.xz,timeout,1801.22,1778.12,timeout,1195.9,timeout,2154.4,4694.7,timeout,2384.17,2649.14,815.139,4887.09,4982.63,1788.19,2543.68,2219.88,3069.28,1697.55,1577.62,1816.28,2085.4,523.156,556.638,528.291,534.734,unverified,unverified,544.833,545.045,534.145,320.721,538.037,522.323,2974.96,3195.51,858.251,1209.89,1195.93,337.206,522.125,2183.49,692.932,528.32,597.792,472.318
d0c760534508b543718285a3faad7ba9,sat,Circuit_multiplier35.cnf.xz,278.961,187.449,188.157,733.801,266.085,250.425,411.187,144.028,149.956,timeout,443.218,947.024,104.126,970.838,1120.72,559.153,247.042,168.564,76.8872,48.2828,1093.49,465.819,970.407,605.771,1005.35,597.063,677.117,129.403,330.64,914.021,952.954,495.88,957.988,955.347,142.387,322.945,376.461,1188.22,177.21,475.535,481.07,3708.84,589.638,1300.97,128.92,436.326
d21b66364fecc9fc7aabbbb981274612,sat,HCP-526-105.cnf.xz,79.1198,246.946,259.42,77.4716,215.355,57.7391,95.7174,83.3725,65.8336,2272.63,timeout,602.48,52.4059,254.035,227.346,291.674,214.231,77.0048,168.86,51.1217,65.4422,149.089,313.503,155.213,267.766,275.044,223.003,76.3346,505.661,499.814,150.005,1396.4,2580.49,148.278,35.5627,68.3581,959.145,593.113,161.696,timeout,314.667,456.766,148.603,timeout,174.214,113.693
d2528d707d36e76d0230ed6918c97345,sat,sted5_0x1e3-120.cnf.xz,740.171,1696.57,1695.24,2793.19,1696.97,961.133,984.482,919.925,3090.93,142.284,1995.71,927.644,216.748,1441.65,155.806,490.854,2021.67,1920.4,96.765,434.923,210.008,55.0933,182.653,184.065,169.141,827.671,36.1193,306.327,376.242,383.018,48.0794,329.769,46.8124,48.0792,2162.74,2015.29,66.3495,60.451,309.093,238.587,623.944,1419.99,99.4813,120.375,97.7129,289.086
d2ec1de194269f98dff6608ff097d031,sat,vlsat2_111_1186.cnf.xz,35.3644,145.609,142.918,3.56755,32.4178,1507.91,72.0077,107.856,193.452,timeout,timeout,15.0799,74.2382,13.1114,25.8764,0.746785,11.0174,timeout,11.3033,99.056,1198.74,11.9553,4005.42,1299.58,95.898,6.64479,6.78463,6.79742,7.37856,7.44561,1246.94,timeout,638.653,712.323,173.981,9.71687,7.06629,6.99317,7.03794,6.78874,6.75855,6.82104,5.93579,5.92497,5.90123,5.89798
d328c11941d27fcabc1688663bdc64ea,sat,erin2_0x1e3-216.cnf.xz,timeout,2782.31,2746.18,timeout,3076.61,4038.42,2796.13,3735.02,3096.8,timeout,timeout,1632.82,812.904,timeout,529.991,timeout,timeout,timeout,443.494,2556.82,1092.87,4126.18,902.166,549.95,901.173,2425.5,3247.03,4142.08,3525.3,3598,4008.6,499.593,1752.54,2236.28,timeout,4008.05,4769.53,timeout,4522.47,1036.4,2254.12,4174.23,1957.45,1565.55,2079.16,1520.19
d32d87afa368dcdcc2dfef18573e39f4,unsat,E02F17.cnf.xz,27.072,35.7188,35.6888,36.5308,36.8656,31.3798,40.8186,33.2773,39.1597,369.517,321.691,39.377,58.3293,41.5613,41.2745,33.6557,21.8279,20.2947,31.9081,48.3337,41.7343,20.5985,31.4452,51.387,24.3784,26.3794,unverified,unverified,80.0384,81.4556,33.5695,39.2485,20.2328,31.462,21.4554,12.4102,40.8254,41.5048,51.3803,51.1791,35.904,48.1377,48.813,39.2254,31.6439,34.5462
d42c9f674dcabd62a43c0d4b9b495c2a,sat,sted1_0x0-380.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
d4a914e3e257179e39ec493a7d7b1140,sat,ktf_TF-4.tf_4_0.06_52.cnf.xz,398.967,timeout,timeout,1087.79,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,1409.11,1604.56,852.756,timeout,301.788,882.34,1508.95,timeout,timeout,timeout,timeout,267.592,156.595,1386.71,347.002,349.833,3311.13,timeout,timeout,timeout,3150.64,1293.32,308.101,321.401,977.667,705.446,44.0362,1441.14,590.1,526.764,200.518,423.788
d5325d628ea6ed001c5a99971b58deae,unknown,uum32.smt2.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
d5453d6d31f33a310ce34ee4bcfcbe50,sat,prime_a24_b24.cnf.xz,3282.92,780.343,783.974,901.861,1324,31.1832,596.121,962.184,1257.93,timeout,3475.3,1295.27,21.9941,624.434,253.521,680.226,1886.91,449.595,963.424,1087.31,1062.44,1473.77,665.128,491.204,489.581,582.628,1426.87,1151.96,404.514,2954.18,1650.66,924.093,1267.23,121.277,65.7949,21.513,1424.22,2046.33,33.7038,176.19,294.291,1110.8,533.073,1202.51,2753.45,1300.53
d646d69fe2f66663f380a6d742bbb38a,unsat,string_compare_safety_cbmc_unwinding_800.cnf.xz,1459.38,1351.36,1329.24,1155.94,1055.82,1307.9,1695.75,1311.73,1018.96,timeout,timeout,2235.86,1018.15,1137.33,1451.96,1216.27,1224.02,949.676,1248.31,1338.04,1168.66,1325.83,2375.06,2130.62,1842.33,1773.06,unverified,unverified,3046.06,3140.8,2346.47,3777.25,2536.43,2511.07,3618.15,3979.3,3763.3,4261.59,4413.98,timeout,2810.68,4010.33,4001.69,4581.56,3837.23,4463.76
d765837689ffb1173943095f2fc42b96,unsat,Kakuro-easy-045-ext.xml.hg_4.cnf.xz,timeout,4396.32,4362.36,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4865.7,4267.99,timeout,timeout,timeout,4428.64,timeout,timeout,timeout,timeout,timeout,timeout,3737.33,timeout,unverified,timeout,timeout,4269.07,timeout,4455.87,timeout,timeout,timeout,3758.07,timeout,timeout,4888.57,timeout,4639.78,3693.92,4154.6,timeout,4929.67
d7b38c8ead74ae705aa60b8771debda1,unsat,maxor128.cnf.xz,2395.78,811.744,799.398,2509.29,926.451,2300.27,706.976,2931.48,2391.78,timeout,timeout,timeout,timeout,3081.72,timeout,2724.52,3028.21,1245.37,timeout,timeout,timeout,3779.85,827.689,timeout,1065.42,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,1719.01,1573.61,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
dbbd977e78d2e6a9d2d83c5077597591,sat,Kakuro-easy-118-ext.xml.hg_4.cnf.xz,363.604,106.882,106.743,687.654,317.32,331.031,1185.38,943.582,419.853,1200.13,1128.98,583.99,330.03,1647.81,312.279,1348.82,201.499,1559.33,286.046,200.953,127.687,275.655,287.516,212.704,394.909,151.604,508.691,451.113,398.205,404.68,218.49,347.154,380.584,237.809,279.79,170.282,380.488,360.912,451.272,385.392,444.083,306.583,446.528,492.424,492.388,341.004
dc3854d1f6db34fa97596ac30204627c,unknown,ktf_TF-1.tf_3_0.02_34.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ddb3decfe4a53709806d60535bbb3de8,unsat,n320p5q2_n.apx_17.cnf.xz,261.269,243.454,245.671,265.644,71.5129,1207.09,timeout,413.834,371.962,2591.37,2085.37,229.438,284.447,180.308,321.704,279.671,258.043,218.336,329.954,260.931,314.696,282.545,51.8025,126.845,51.7106,215.899,unverified,unverified,184.264,186.758,163.038,149.627,161.095,168.572,247.486,245.662,450.712,492.837,506.55,134.216,226.098,timeout,181.002,213.991,177.692,182.313
df4aa7724f377245d82486ada37910de,unknown,SC21_Timetable_C_140_E_32_Cl_30_S_10.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
df6aa71659ddda7143b6e2e72d7d4675,unknown,problem_12.smt2.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e02cc08183436cf370b565fbf365f3fe,sat,Circuit_multiplier26.cnf.xz,4561.21,timeout,timeout,3577.95,timeout,3675.71,timeout,4961.2,timeout,timeout,337.926,3222.44,timeout,2009.66,16.5227,timeout,timeout,timeout,2659.33,3051.1,3463.03,1048.74,2516.49,2168.57,timeout,359.642,timeout,timeout,2305.88,1970.58,1407.26,1710.73,1842.5,1394.96,timeout,timeout,1186.4,3539.36,timeout,176.587,timeout,2595.8,timeout,timeout,timeout,timeout
e0617083b92213c14131866cfee57dfb,unsat,vlsat2_11_42.cnf.xz,2134.37,1391.41,1392.23,963.952,timeout,2024.14,timeout,1720.75,1062.74,timeout,timeout,256.12,439.682,1425.89,timeout,3760.6,2500.86,timeout,timeout,timeout,3797.19,4332.37,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e353e7a4a49333e69e21ce21289f3983,sat,quad_res_r21_m22.cnf.xz,108.305,116.73,115.858,122.623,123.647,107.14,925.679,122.596,83.8297,469.281,153.853,80.8571,77.0251,60.0648,68.9227,107.231,146.099,182.936,151.806,53.1694,144.447,169.644,110.369,52.0605,58.9732,125.103,122.383,189.367,16.7707,254.695,73.3591,113.18,74.4873,75.4834,309.74,159.899,25.7859,177.61,81.135,23.2511,221.518,746.648,105.512,197.409,56.1069,50.7723
e4058a36518bf65fac7b0b866f139235,unsat,sp4-33-one-stri-tree-noid.cnf.xz,347.337,1062.84,1076.8,907.823,367.157,570.588,908.004,810.839,470.083,1763.51,2512.9,120.493,744.932,599.736,540.845,420.848,460.405,309.838,473.979,365.242,442.574,669.84,133.327,101.625,135.138,113.329,unverified,unverified,105.286,104.533,159.634,129.745,175.12,108.53,187.661,273.276,186.772,428.204,292.039,131.09,160.403,632.93,154.008,140.117,136.671,159.075
e4d1892db27b721b88e5ee7e5987649f,unknown,quad_res_r33_m36.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e59a9e69ce2967effc10fb6905609079,unsat,51.smt2.cnf.xz,493.219,362.719,381.31,388.723,363.279,432.457,280.088,127.468,469.022,timeout,4080.61,208.287,407.187,196.463,446.118,183.964,unverified,434.982,115.288,324.538,203.65,565.342,124.914,256.756,193.62,1129.25,1146.04,unverified,1276.36,1292.96,145.847,1748.64,836.896,173.599,599.303,345.711,204.764,317.579,194.713,914.707,318.613,746.38,60.4379,66.5459,66.7483,60.4423
e63a6f6ad7432b630996b02f842066f7,sat,b2005-p1-12x12c10h7-Ser5-0.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e6510ed99dc7c4549ac41772305d004b,sat,sp5-21-15-one-nons-tree-noid.cnf.xz,103.204,1082.45,1085.67,1318.09,828.478,320.703,1028.14,574.956,2196.07,timeout,400.346,79.1845,1039.11,1459.96,460.965,200.529,124.196,1464.48,1625.26,752.557,73.3635,238.401,262.157,timeout,265.774,1082.66,2222.69,299.583,657.533,1628.28,602.777,744.527,402.011,98.7828,733.181,592.602,1433.04,2158,2184.99,83.212,683.455,224.861,746.934,1113.2,361.544,236.217
